File;Method Name;Average; Distance From Mean
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.setVelocity( double velocity );6;-4.745103005741303
rebound-core/src/main/java/com/facebook/rebound/Spring.java;Spring.systemShouldAdvance( );1;-9.745103005741303
rebound-core/src/main/java/com/facebook/rebound/SpringConfigRegistry.java;SpringConfigRegistry.addSpringConfig( SpringConfig springConfig , String configName );9;-1.7451030057413028
rebound-core/src/main/java/com/facebook/rebound/SpringConfigRegistry.java;SpringConfigRegistry.removeSpringConfig( SpringConfig springConfig );4;-6.745103005741303
rebound-core/src/main/java/com/facebook/rebound/SpringUtil.java;SpringUtil.mapValueFromRangeToRange( double value , double fromLow , double fromHigh , double toLow , double toHigh );5;-5.745103005741303
rebound-core/src/main/java/com/facebook/rebound/SteppingLooper.java;SteppingLooper.step( long interval );6;-4.745103005741303
rebound-core/src/main/java/com/facebook/rebound/SynchronousLooper.java;SynchronousLooper.start( );6;-4.745103005741303
rebound-core/src/test/java/com/facebook/rebound/SpringSystemTest.java;SpringSystemTest.testActivatingAndDeactivatingSpring( );30;19.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringSystemTest.java;SpringSystemTest.testLoop( );7;-3.745103005741303
rebound-core/src/test/java/com/facebook/rebound/SpringSystemTest.java;SpringSystemTest.testLoopWithMultiplePassesRunsAndTerminates( );15;4.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.iterateUntilRest( Spring spring );4;-6.745103005741303
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testOvershootClamping( );22;11.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSettingCurrentValueWithoutSettingAtRestTriggersIteration( );26;15.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSettingVelocityTriggersIteration( );32;21.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSetupSpring( );9;-1.7451030057413028
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSpringBehaviorWhenUpdatingEndStateWhileNotAtRest( );23;12.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSpringDoesNotActivateAfterSetAtRestCall( );27;16.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSpringListeners( );19;8.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSpringListenersWithOvershootClamping( );20;9.254896994258697
rebound-core/src/test/java/com/facebook/rebound/SpringTest.java;SpringTest.testSpringSimulation( );17;6.254896994258697
EventBus/src/org/greenrobot/eventbus/AsyncPoster.java;AsyncPoster.run( );5;-5.745103005741303
EventBus/src/org/greenrobot/eventbus/BackgroundPoster.java;BackgroundPoster.enqueue( Subscription subscription , Object event );8;-2.745103005741303
EventBus/src/org/greenrobot/eventbus/BackgroundPoster.java;BackgroundPoster.run( );18;7.254896994258697
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.EventBus( EventBusBuilder builder );17;6.254896994258697
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.addInterfaces( List < Class < ? > > eventTypes , Class < ? > [ ] interfaces );4;-6.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.cancelEventDelivery( Object event );9;-1.7451030057413028
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.checkPostStickyEventToSubscription( Subscription newSubscription , Object stickyEvent );3;-7.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.getDefault( );9;-1.7451030057413028
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.hasSubscriberForEvent( Class < ? > eventClass );10;-0.7451030057413028
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.isMainThread( );1;-9.745103005741303
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.lookupAllEventTypes( Class < ? > eventClass );11;0.25489699425869716
EventBus/src/org/greenrobot/eventbus/EventBus.java;EventBus.post( Object event );16;5.254896994258697
