File;Method Name;Z-score
spring-webmvc/src/main/java/org/springframework/web/servlet/DispatcherServlet.java;DispatcherServlet.doDispatch( HttpServletRequest request , HttpServletResponse response );2.0480837777189045
spring-webmvc/src/main/java/org/springframework/web/servlet/config/ViewResolversBeanDefinitionParser.java;ViewResolversBeanDefinitionParser.parse( Element element , ParserContext context );2.2937736380554763
spring-webmvc/src/main/java/org/springframework/web/servlet/config/annotation/WebMvcConfigurationSupport.java;WebMvcConfigurationSupport.addDefaultHttpMessageConverters( List < HttpMessageConverter < ? > > messageConverters );2.7851533587286186
spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/AbstractMessageConverterMethodArgumentResolver.java;AbstractMessageConverterMethodArgumentResolver.readWithMessageConverters( HttpInputMessage inputMessage , MethodParameter parameter , Type targetType );2.5394634983920468
spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/support/DefaultHandlerExceptionResolver.java;DefaultHandlerExceptionResolver.doResolveException( HttpServletRequest request , HttpServletResponse response , @ Nullable Object handler , Exception ex );4.504982381084617
spring-webmvc/src/main/java/org/springframework/web/servlet/view/AbstractTemplateView.java;AbstractTemplateView.renderMergedOutputModel( Map < String , Object > model , HttpServletRequest request , HttpServletResponse response );2.2937736380554763
spring-webmvc/src/test/java/org/springframework/web/servlet/DispatcherServletTests.java;DispatcherServletTests.anotherLocaleRequest( );-2.3743337083393783
spring-webmvc/src/test/java/org/springframework/web/servlet/handler/BeanNameUrlHandlerMappingTests.java;BeanNameUrlHandlerMappingTests.doTestRequestsWithSubPaths( HandlerMapping hm );-3.357093149685664
spring-webmvc/src/test/java/org/springframework/web/servlet/handler/BeanNameUrlHandlerMappingTests.java;BeanNameUrlHandlerMappingTests.requestsWithFullPaths( );-2.3743337083393783
spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/condition/ProducesRequestConditionTests.java;ProducesRequestConditionTests.compareTo( );-2.3743337083393783
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/BindTagTests.java;BindTagTests.bindTagWithFieldErrors( );-3.111403289349093
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/BindTagTests.java;BindTagTests.bindTagWithFieldErrorsAndDefaultMessageOnly( );-2.3743337083393783
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/BindTagTests.java;BindTagTests.bindTagWithFieldErrorsAndNoDefaultMessage( );-2.3743337083393783
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/BindTagTests.java;BindTagTests.bindTagWithGlobalErrors( );-2.62002356867595
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/BindTagTests.java;BindTagTests.bindTagWithGlobalErrorsAndDefaultMessageOnly( );-2.1286438480028074
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/BindTagTests.java;BindTagTests.bindTagWithGlobalErrorsAndNoDefaultMessage( );-2.1286438480028074
spring-webmvc/src/test/java/org/springframework/web/servlet/tags/HtmlEscapeTagTests.java;HtmlEscapeTagTests.htmlEscapeTag( );-2.865713429012521
spring-websocket/src/main/java/org/springframework/web/socket/config/MessageBrokerBeanDefinitionParser.java;MessageBrokerBeanDefinitionParser.registerMessageBroker( Element brokerElement , RuntimeBeanReference inChannel , RuntimeBeanReference outChannel , RuntimeBeanReference brokerChannel , Object userDestHandler , RuntimeBeanReference brokerTemplate , RuntimeBeanReference userRegistry , ParserContext context , @ Nullable Object source );4.259292520748046
spring-websocket/src/main/java/org/springframework/web/socket/messaging/SubProtocolWebSocketHandler.java;DefaultStats.toString( );-2.1286438480028074
spring-websocket/src/main/java/org/springframework/web/socket/messaging/SubProtocolWebSocketHandler.java;SubProtocolWebSocketHandler.handleMessage( Message < ? > message );2.0480837777189045
spring-websocket/src/main/java/org/springframework/web/socket/sockjs/frame/AbstractSockJsMessageCodec.java;AbstractSockJsMessageCodec.isSockJsSpecialChar( char ch );-2.3743337083393783
