File;Method Name;Mutant Density
ansible/galaxy/api;GalaxyAPI.get_collection_versions;28
ansible/galaxy/api;GalaxyAPI.get_collection_signatures;3
ansible/galaxy/api;GalaxyAPI.__lt__;7
ansible/galaxy/api;GalaxyAPI._add_auth_token;6
ansible/galaxy/api;_load_cache;1
ansible/galaxy/api;available_api_versions;1
ansible/galaxy/api;_call_galaxy;1
ansible/galaxy/api;_set_cache;1
ansible/galaxy/api;authenticate;1
ansible/galaxy/api;create_import_task;1
ansible/galaxy/api;get_import_task;1
ansible/galaxy/api;lookup_role_by_name;1
ansible/galaxy/api;fetch_role_related;1
ansible/galaxy/api;get_list;1
ansible/galaxy/api;search_roles;1
ansible/galaxy/api;add_secret;1
ansible/galaxy/api;list_secrets;1
ansible/galaxy/api;remove_secret;1
ansible/galaxy/api;delete_role;1
ansible/galaxy/api;publish_collection;1
ansible/galaxy/api;wait_import_task;1
ansible/galaxy/api;get_collection_metadata;1
ansible/galaxy/api;get_collection_version_metadata;1
ansible/galaxy/api;get_collection_versions;1
ansible/galaxy/api;get_collection_signatures;1
ansible/galaxy/api;__init__;3
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.ignore_signature_errors;1
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.get_artifact_path;6
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.get_direct_collection_fqcn;1
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.get_direct_collection_dependencies;1
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.get_direct_collection_meta;8
ansible/galaxy/collection/concrete_artifact_manager;keyring;1
ansible/galaxy/collection/concrete_artifact_manager;required_successful_signature_count;1
ansible/galaxy/collection/concrete_artifact_manager;ignore_signature_errors;1
ansible/galaxy/collection/concrete_artifact_manager;require_build_metadata;2
ansible/galaxy/collection/concrete_artifact_manager;under_tmpdir;1
ansible/galaxy/collection/concrete_artifact_manager;_tarfile_extract;1
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.get_galaxy_artifact_path;4
ansible/galaxy/collection/concrete_artifact_manager;ConcreteArtifactsManager.get_galaxy_artifact_source_info;1
ansible/galaxy/collection/galaxy_api_proxy;MultiGalaxyAPIProxy._get_collection_versions;8
ansible/galaxy/collection/galaxy_api_proxy;MultiGalaxyAPIProxy._assert_that_offline_mode_is_not_requested;1
ansible/galaxy/collection/galaxy_api_proxy;MultiGalaxyAPIProxy.get_collection_versions;1
ansible/galaxy/collection/galaxy_api_proxy;MultiGalaxyAPIProxy.get_collection_dependencies;1
ansible/galaxy/collection/galaxy_api_proxy;MultiGalaxyAPIProxy.get_signatures;5
ansible/galaxy/collection/galaxy_api_proxy;is_offline_mode_requested;1
ansible/galaxy/collection/galaxy_api_proxy;MultiGalaxyAPIProxy.get_collection_version_metadata;4
ansible/galaxy/collection/gpg;get_gpg_error_description;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.from_dir_path_implicit;3
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.construct_galaxy_info_path;9
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.name;3
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.__init__;2
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.from_dir_path_as_unknown;4
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.from_dir_path;4
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.from_string;11
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.from_requirement_dict;44
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.may_have_offline_galaxy_info;5
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.canonical_package_id;2
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_online_index_pointer;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.__unicode__;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.namespace;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_concrete_artifact;1
ansible/galaxy/dependency_resolution/dataclasses;from_dir_path_as_unknown;1
ansible/galaxy/dependency_resolution/dataclasses;from_dir_path;1
ansible/galaxy/dependency_resolution/dataclasses;from_dir_path_implicit;1
ansible/galaxy/dependency_resolution/dataclasses;from_string;1
ansible/galaxy/dependency_resolution/dataclasses;from_requirement_dict;1
ansible/galaxy/dependency_resolution/dataclasses;may_have_offline_galaxy_info;1
ansible/galaxy/dependency_resolution/dataclasses;namespace;1
ansible/galaxy/dependency_resolution/dataclasses;name;1
ansible/galaxy/dependency_resolution/dataclasses;canonical_package_id;1
ansible/galaxy/dependency_resolution/dataclasses;is_virtual;1
ansible/galaxy/dependency_resolution/dataclasses;is_file;1
ansible/galaxy/dependency_resolution/dataclasses;is_dir;1
ansible/galaxy/dependency_resolution/dataclasses;namespace_collection_paths;1
ansible/galaxy/dependency_resolution/dataclasses;is_subdirs;1
ansible/galaxy/dependency_resolution/dataclasses;is_url;1
ansible/galaxy/dependency_resolution/dataclasses;is_scm;1
ansible/galaxy/dependency_resolution/dataclasses;is_concrete_artifact;1
ansible/galaxy/dependency_resolution/dataclasses;is_online_index_pointer;1
ansible/galaxy/dependency_resolution/dataclasses;source_info;1
ansible/galaxy/dependency_resolution/dataclasses;__new__;4
ansible/galaxy/dependency_resolution/dataclasses;__init__;4
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.__repr__;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_virtual;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_file;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_dir;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_subdirs;1
ansible/galaxy/dependency_resolution/dataclasses;_ComputedReqKindsMixin.is_url;1
